Date,Open,High,Low,Close,Adj Close,Volume
,11.23,11.365,10.43,10.61,10.61,8386950
,11.025,11.2275,10.465,10.68,10.68,6806975
2020-11-02,10.82,11.09,10.5,10.75,10.75,5227000
,10.8025,11.282499999999999,10.5325,10.955,10.955,5783875
,10.785,11.475,10.565000000000001,11.16,11.16,6340750
,10.7675,11.6675,10.5975,11.365,11.365,6897625
2020-11-03,10.75,11.86,10.63,11.57,11.57,7454500
,11.0025,11.837499999999999,10.625,11.405000000000001,11.405000000000001,7042850
,11.254999999999999,11.815,10.620000000000001,11.24,11.24,6631200
,11.5075,11.7925,10.615,11.075,11.075,6219550
2020-11-04,11.76,11.77,10.61,10.91,10.91,5807900
,11.6375,11.7875,10.7225,11.045,11.045,5532225
,11.515,11.805,10.835,11.18,11.18,5256550
,11.3925,11.8225,10.947500000000002,11.315,11.315,4980875
2020-11-05,11.27,11.84,11.06,11.45,11.45,4705200
,11.3325,11.9225,11.125,11.552499999999998,11.552499999999998,4908450
,11.395,12.004999999999999,11.190000000000001,11.655,11.655,5111700
,11.4575,12.087499999999999,11.255,11.7575,11.7575,5314950
2020-11-06,11.52,12.17,11.32,11.86,11.86,5518200
,11.83,12.36,11.3025,11.7675,11.7675,5699875
,12.14,12.55,11.285,11.675,11.675,5881550
,12.45,12.74,11.2675,11.5825,11.5825,6063225
2020-11-09,12.76,12.93,11.25,11.49,11.49,6244900
,12.445,12.6125,11.145,11.3925,11.3925,5640175
,12.129999999999999,12.295,11.04,11.295,11.295,5035450
,11.815,11.9775,10.934999999999999,11.1975,11.1975,4430725
2020-11-10,11.5,11.66,10.83,11.1,11.1,3826000
,11.5,11.7325,10.925,11.2625,11.2625,4090150
,11.5,11.805,11.02,11.425,11.425,4354300
,11.5,11.8775,11.115,11.5875,11.5875,4618450
2020-11-11,11.5,11.95,11.21,11.75,11.75,4882600
,11.56,11.93,11.15,11.595,11.595,4750275
,11.620000000000001,11.91,11.09,11.440000000000001,11.440000000000001,4617950
,11.68,11.89,11.030000000000001,11.285,11.285,4485625
2020-11-12,11.74,11.87,10.97,11.13,11.13,4353300
,11.645,11.79,10.9775,11.100000000000001,11.100000000000001,4148950
,11.55,11.71,10.985,11.07,11.07,3944600
,11.455,11.63,10.9925,11.04,11.04,3740250
2020-11-13,11.36,11.55,11,11.01,11.01,3535900
,11.309999999999999,11.8275,10.93,11.2725,11.2725,5095625
,11.26,12.105,10.86,11.535,11.535,6655350
,11.21,12.3825,10.79,11.7975,11.7975,8215075
2020-11-16,11.16,12.66,10.72,12.06,12.06,9774800
,11.2825,12.475,10.8475,11.9525,11.9525,9000650
,11.405000000000001,12.29,10.975000000000001,11.845,11.845,8226500
,11.5275,12.105,11.102500000000001,11.7375,11.7375,7452350
2020-11-17,11.65,11.92,11.23,11.63,11.63,6678200
,11.6875,11.95,11.3125,11.615000000000002,11.615000000000002,5800950
,11.725000000000001,11.98,11.395,11.600000000000001,11.600000000000001,4923700
,11.762500000000001,12.01,11.4775,11.585,11.585,4046450
2020-11-18,11.8,12.04,11.56,11.57,11.57,3169200
,11.75,12.2275,11.532499999999999,11.7925,11.7925,5323800
,11.7,12.415,11.504999999999999,12.015,12.015,7478400
,11.649999999999999,12.6025,11.4775,12.2375,12.2375,9633000
2020-11-19,11.6,12.79,11.45,12.46,12.46,11787600
,11.837499999999999,12.9575,11.7225,12.5225,12.5225,10939550
,12.075,13.125,11.995,12.585,12.585,10091500
,12.3125,13.2925,12.267499999999998,12.6475,12.6475,9243450
2020-11-20,12.55,13.46,12.54,12.71,12.71,8395400
,12.637500000000001,13.625,12.5725,13.0075,13.0075,8696325
,12.725000000000001,13.79,12.605,13.305,13.305,8997250
,12.8125,13.954999999999998,12.6375,13.6025,13.6025,9298175
2020-11-23,12.9,14.12,12.67,13.9,13.9,9599100
,13.232500000000002,14.155,12.8275,13.842500000000001,13.842500000000001,8995125
,13.565000000000001,14.19,12.985,13.785,13.785,8391150
,13.8975,14.225,13.1425,13.7275,13.7275,7787175
2020-11-24,14.23,14.26,13.3,13.67,13.67,7183200
,14.0725,14.5075,13.33,13.940000000000001,13.940000000000001,7602425
,13.915,14.754999999999999,13.36,14.21,14.21,8021650
,13.7575,15.0025,13.39,14.48,14.48,8440875
2020-11-25,13.6,15.25,13.42,14.75,14.75,8860100
,14.0225,15.622499999999999,13.785,15.0825,15.0825,9771125
,14.445,15.995,14.15,15.415,15.415,10682150
,14.8675,16.3675,14.515,15.747499999999999,15.747499999999999,11593175
2020-11-27,15.29,16.74,14.88,16.08,16.08,12504200
,16.009999999999998,17.409999999999997,15.299999750000001,16.19999975,16.19999975,17374025
,16.73,18.08,15.7199995,16.3199995,16.3199995,22243850
,17.450000000000003,18.75,16.139999250000002,16.43999925,16.43999925,27113675
2020-11-30,18.17,19.42,16.559999,16.559999,16.559999,31983500
,17.90500025,18.915,16.35999925,16.36999925,16.36999925,27151100
,17.6400005,18.41,16.1599995,16.1799995,16.1799995,22318700
,17.375000749999998,17.905,15.959999750000001,15.98999975,15.98999975,17486300
2020-12-01,17.110001,17.4,15.76,15.8,15.8,12653900
,16.75750075,17.22,15.665,15.995,15.995,11461275
,16.4050005,17.04,15.57,16.189999999999998,16.189999999999998,10268650
,16.05250025,16.86,15.475000000000001,16.384999999999998,16.384999999999998,9076025
2020-12-02,15.7,16.68,15.38,16.58,16.58,7883400
,15.895,16.66999975,15.502500000000001,16.46500025,16.46500025,7486300
,16.09,16.659999499999998,15.625,16.3500005,16.3500005,7089200
,16.285,16.64999925,15.747499999999999,16.235000749999998,16.235000749999998,6692100
2020-12-03,16.48,16.639999,15.87,16.120001,16.120001,6295000
,16.434999750000003,16.8024995,15.967500000000001,16.315000749999996,16.315000749999996,6964425
,16.389999500000002,16.965,16.065,16.510000499999997,16.510000499999997,7633850
,16.34499925,17.1275005,16.1625,16.705000249999998,16.705000249999998,8303275
2020-12-04,16.299999,17.290001,16.26,16.9,16.9,8972700
,16.47499925,17.34250075,16.24999975,16.7625,16.7625,8576100
,16.6499995,17.395000500000002,16.239999500000003,16.625,16.625,8179500
,16.82499975,17.44750025,16.229999250000002,16.4875,16.4875,7782900
2020-12-07,17,17.5,16.219999,16.35,16.35,7386300
,16.84250025,17.42749975,16.147499250000003,16.49750025,16.49750025,9569775
